CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Starbucks Coffee,3 New York Plaza,,New York,NY,10004,Aug-32,Casual Eating & Takeout,F-Coffeehouse,,,,,,,,,
New York Health & Racquet Club,39 Whitehall Street,,New York,NY,10004,Aug-32,Personal and Professional Services,P-Athletic Clubs/Fitness,MANHATTAN,40.703037,-74.012969,1,1,9,1087700,1000087501,Battery Park City-Lower Manhattan
A.J. Kelly's,6 Stone Street,,New York,NY,10004,Oct-32,Full Service Dining,F-Irish Pub,MANHATTAN,40.704028,-74.012692,1,1,9,1000028,1000100032,Battery Park City-Lower Manhattan
Fraunces Tavern® Restaurant,54 Pearl Street,,New York,NY,10004,Jul-35,Full Service Dining,F-American,MANHATTAN,40.703496,-74.011375,1,1,9,1078965,1000070035,Battery Park City-Lower Manhattan
Bombay's,60 Pearl Street,,New York,NY,10004,Jul-37,Casual Eating & Takeout,F-Indian,MANHATTAN,40.703553,-74.011152,1,1,9,1000014,1000070038,Battery Park City-Lower Manhattan
Pearl Bodywork,60 Pearl Street,Floor 2,New York,NY,10004,Jul-38,Personal and Professional Services,P-Spa,MANHATTAN,40.703553,-74.011152,1,1,9,1000014,1000070038,Battery Park City-Lower Manhattan
McDonald's,6 Water Street,,New York,NY,10004,Aug-51,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.702744,-74.012201,1,1,9,1000017,1000080051,Battery Park City-Lower Manhattan
Water Street Gourmet Deli & Pizza,12 Water Street,,New York,NY,10004,Aug-51,Casual Eating & Takeout,F-Deli,MANHATTAN,40.702834,-74.011963,1,1,9,1078969,1000080051,Battery Park City-Lower Manhattan
Alice's Fashion,1 New York Plaza,,New York,NY,10004,1-Apr,Shopping,S-Apparel: Women's,,,,,,,,,
Mr. Soup,1 New York Plaza,,New York,NY,10004,1-Apr,Casual Eating & Takeout,F-Soup,,,,,,,,,
Vivo Food,1 New York Plaza,,New York,NY,10004,1-Apr,Casual Eating & Takeout,F-Health,,,,,,,,,
Gateway News,1 New York Plaza,,New York,NY,10004,1-Apr,Personal and Professional Services,P-Newsstands,,,,,,,,,
New World Coffee,1 New York Plaza,,New York,NY,10004,1-Apr,Casual Eating & Takeout,F-Coffeehouse,,,,,,,,,
New York Plaza Cleaners & Tailors/Shoe Repair,1 New York Plaza,Lobby,New York,NY,10004,1-Apr,Personal and Professional Services,P-Dry Cleaning,,,,,,,,,
Salvatore's  Barber Shop and Hair Salon,1 New York Plaza,,New York,NY,10004,1-Apr,Personal and Professional Services,P-Hair Salon & Barber Shop,,,,,,,,,
"Estee Lauder Companies Inc., The Company Store",1 New York Plaza,,New York,NY,10004,1-Apr,Shopping,S-Beauty & Fragrances,,,,,,,,,
Subway,1 New York Plaza,Concourse,New York,NY,10004,1-Apr,Casual Eating & Takeout,F-Fast Food,,,,,,,,,
Cafe Groppi,32 Water Street,,New York,NY,10004,26-Jul,Casual Eating & Takeout,F-American,MANHATTAN,40.70315,-74.010827,1,1,9,1087449,1000077502,Battery Park City-Lower Manhattan
Pranzo,34 Water Street,Street Level,New York,NY,10004,26-Jul,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.703177,-74.010726,1,1,9,1077806,1000077501,Battery Park City-Lower Manhattan
